label,lat,lng
SLO — Higuera St (Downtown),35.28130,-120.65990
SLO — Mitchell Park,35.28390,-120.65470
SLO — Chorro St,35.28170,-120.66300
SLO — Johnson Ave,35.27570,-120.64340
SLO — Laguna Lake,35.26870,-120.68910
SF — Dolores St (Mission),37.75960,-122.42690
SF — The Panhandle,37.77300,-122.44410
SF — Haight-Ashbury,37.76940,-122.44690
SF — McLaren Park,37.72080,-122.42940
SF — Market St at Castro,37.76250,-122.43500
LA — Los Feliz Blvd,34.10810,-118.29210
LA — Hancock Park,34.07000,-118.33880
LA — Silver Lake,34.08930,-118.27430
LA — Brentwood,34.04880,-118.47860
LA — Griffith Observatory,34.11870,-118.30020
